smiles,A,B,C,mu,alpha,homo,lumo,r2,zpve,u0,cv,u0_atom
C(C#N)O,35.93172,4.83443,4.37827,4.6788,28.56,-0.3018,0.0022,280.6659,0.050262,-207.916786,13.845,-673.933998347
CCC=O,26.14564,4.2893,4.12773,2.6741,35.83,-0.25,-0.0205,333.3276,0.084175,-193.075202,15.954,-921.603015521
CNC=O,19.98749,6.11589,4.82584,3.7071,32.78,-0.2516,0.0335,279.7863,0.074166,-209.144909,15.058,-816.74061404
COC=O,48.62351,4.67298,4.38187,3.92,29.47,-0.2814,0.0074,293.917,0.061327,-229.013797,13.885,-746.737592527
C(C=O)O,36.49282,4.31175,4.04493,1.7341,28.53,-0.2537,-0.0341,303.8129,0.060508,-228.992613,14.78,-733.444441871
CCCC,23.44662,3.60588,3.38683,0.0,45.71,-0.317,0.0937,426.2996,0.131708,-158.340943,19.668,-1224.348497625
CCCO,26.59789,3.79186,3.53779,1.3402,38.61,-0.2619,0.081,382.8628,0.108241,-194.261089,18.431,-1037.90616109
CCOC,28.29567,4.14901,3.88349,1.0363,39.34,-0.2503,0.0925,368.9331,0.107895,-194.254127,17.888,-1033.537443432
C(CO)O,14.79671,5.6956,4.58846,0.0075,31.42,-0.2594,0.0584,297.8398,0.085172,-230.183076,16.837,-852.619068624
CC1CC1,15.61472,6.31363,5.54514,0.1136,41.96,-0.2727,0.1012,298.6061,0.109284,-157.116735,16.49,-1083.998579667
CC1CO1,18.21931,6.63877,5.92459,1.812,35.01,-0.2633,0.1052,267.2979,0.085275,-193.039603,14.764,-899.26432263
CN1CC1,16.58914,7.18798,6.11415,1.1353,39.02,-0.2304,0.0968,270.5508,0.097671,-173.147782,15.298,-954.876680246
C1CC1O,16.79477,6.71015,5.86781,1.3894,34.64,-0.239,0.0775,263.966,0.085106,-193.034988,15.679,-896.368368595
C1CCC1,10.66107,10.66107,6.30452,0.0,41.83,-0.2982,0.0956,268.4432,0.110511,-157.115484,14.696,-1083.213565908
C1COC1,12.06545,11.77731,6.71997,1.7978,34.56,-0.2424,0.0859,236.9759,0.086675,-193.034094,12.915,-895.807375549
CC(=NO)C,8.63483,4.11977,2.88825,0.6875,45.37,-0.2392,0.0192,452.5112,0.100501,-248.375248,21.616,-1057.089738729
c1cc[nH]c1,9.17136,9.04195,4.5531,1.8689,43.14,-0.2029,0.0499,303.9808,0.082433,-210.101789,14.821,-1022.510227775
c1cnc[nH]1,9.77329,9.41192,4.7946,3.6193,39.13,-0.2253,0.0332,283.6817,0.071145,-226.160842,13.371,-910.962345408
c1ccoc1,9.50228,9.29497,4.69874,0.5571,39.2,-0.2246,0.0199,289.005,0.069883,-229.969129,13.358,-951.53582233
c1cocn1,10.10926,9.69372,4.94857,1.5081,35.17,-0.2509,0.001,269.2444,0.058593,-246.02915,12.04,-840.595368675
CC(C)(C)C,4.4178,4.41753,4.41717,0.0003,56.01,-0.3145,0.0737,486.2719,0.158836,-197.632222,26.084,-1502.938020774
CC(C)(C)O,4.69474,4.66938,4.47909,1.384,49.04,-0.2601,0.0664,449.0573,0.134977,-233.560626,25.128,-1321.677653561
CC(=O)C#C,10.21876,4.04324,2.94978,2.8579,42.02,-0.2654,-0.0575,416.7799,0.065175,-229.927277,18.723,-925.273315662
CC(=O)C#N,10.16063,4.15847,3.0056,3.3351,37.08,-0.3007,-0.0889,397.7757,0.05451,-246.027383,16.963,-839.486560272
C(#N)C(=N)N,10.68423,4.3198,3.07993,5.1815,38.31,-0.2739,-0.0438,384.5574,0.056619,-242.19573,17.465,-784.250708056
C#CC(=O)N,11.40916,4.14704,3.0415,3.7167,38.29,-0.2629,-0.0277,390.4619,0.054731,-245.997884,18.527,-820.975672281
CC(=O)C=O,9.08854,4.42607,3.03169,0.9461,36.51,-0.2538,-0.0964,399.222,0.064992,-267.10335,17.806,-899.084855056
C(=O)C(=N)N,10.08927,4.54115,3.13487,2.7707,38.09,-0.2561,-0.064,384.4827,0.067668,-263.278851,17.972,-848.338202226
C(=O)C(=O)N,10.84211,4.27948,3.06837,5.1668,33.39,-0.2533,-0.0763,381.9882,0.054577,-283.16874,17.525,-791.513497222
CC(C)C#C,7.92874,3.8272,2.82581,0.6578,51.2,-0.2589,0.0571,481.9854,0.112471,-195.186772,22.569,-1224.099376552
CC(C)C#N,7.90009,3.95466,2.88643,3.9512,46.23,-0.318,0.0365,460.694,0.102281,-211.295796,20.467,-1143.908746424
CC(N)C#N,8.30095,3.97615,2.93764,2.7429,42.87,-0.2704,0.0278,440.0738,0.091554,-227.338075,19.946,-1021.835028091
CC(O)C#C,8.55919,3.89952,2.91869,1.3582,44.03,-0.2665,0.0336,444.6452,0.088908,-231.108368,21.306,-1038.566928067
CC(O)C#N,8.55908,4.01671,2.97882,3.269,39.28,-0.3051,0.0115,424.3395,0.078602,-247.214861,19.252,-956.78807266
CC(C)C=O,7.66289,3.70925,2.79937,2.6921,46.58,-0.2469,-0.0188,482.0475,0.112328,-232.364952,21.434,-1199.233077409
CC(O)C=O,8.31096,4.07963,2.92918,2.8354,39.16,-0.255,-0.0279,432.1489,0.088443,-268.287661,20.344,-1014.399046441
CN(C)C=O,8.9331,4.19405,2.96046,3.7163,44.42,-0.2424,0.0327,441.85,0.10227,-248.430371,19.918,-1091.679917336
CC(=O)CO,10.13982,3.81346,2.86965,2.9514,39.33,-0.2699,-0.0262,440.1727,0.088924,-268.301176,19.824,-1022.879830576
CCC(=O)C,9.55216,3.57844,2.7341,2.6168,46.19,-0.2423,-0.0072,489.8518,0.112006,-232.377706,21.716,-1207.236327195
CCC(=O)N,9.78802,3.78441,2.84416,3.499,42.54,-0.2438,0.0355,457.447,0.101847,-248.448467,21.374,-1103.0353202
CC(=O)NC,10.01185,3.84195,2.87635,3.5402,43.61,-0.2418,0.0387,458.9803,0.101735,-248.443503,20.967,-1099.920365524
CNC(=O)N,10.44045,4.04692,2.98547,3.5648,39.51,-0.2436,0.0599,428.404,0.091713,-264.504487,20.274,-989.584203036
COC(C)=N,9.69683,4.1533,3.01703,1.1876,43.57,-0.2595,0.0352,443.1687,0.102062,-248.416462,20.256,-1082.951894655
CC(=O)OC,10.20392,4.16834,3.07281,1.7569,39.33,-0.2685,0.0174,427.6606,0.089436,-268.32127,19.501,-1035.488996422
COC(=O)N,10.68182,4.39532,3.17969,2.329,35.5,-0.2669,0.0575,398.5908,0.079271,-284.385189,19.084,-926.994572849
C(C(=O)N)O,10.20696,3.93135,2.9219,4.5676,35.87,-0.246,0.0273,418.5967,0.078222,-284.360325,20.089,-911.392189073
[NH3+]CC([O-])=O,10.14389,4.0714,3.02223,5.3004,35.19,-0.2527,0.0208,408.0279,0.080317,-284.372483,17.931,-919.021443495
CC(C)CO,7.57282,3.5255,2.65861,1.3149,49.26,-0.2629,0.0789,516.4357,0.136209,-233.551389,23.924,-1315.881352928
CC(O)CO,6.6508,4.19317,3.39441,2.2854,42.01,-0.2597,0.0631,438.3028,0.11345,-269.479234,22.072,-1134.270208184
CCC(C)C,7.26511,3.32874,2.54491,0.0618,56.26,-0.3085,0.085,565.8412,0.159632,-197.629387,25.169,-1501.159032759
CCC(C)O,8.11598,3.43678,2.66869,1.3894,49.45,-0.2617,0.0733,521.8605,0.136091,-233.555951,23.99,-1318.744048986
CC(C)OC,7.55335,3.78323,2.80566,1.0758,49.8,-0.2476,0.086,507.9614,0.135681,-233.545899,23.573,-1312.436328518
CC1(CC1)C,6.14183,5.17679,3.79297,0.1068,52.92,-0.2633,0.0893,439.1643,0.137025,-196.409349,22.258,-1363.425827331
CC1(CO1)C,6.49534,5.52329,3.9108,1.8235,45.7,-0.2596,0.091,405.521,0.112851,-232.335768,20.719,-1180.919854753
CC1(CC1)O,6.57648,5.31603,3.98453,1.3822,45.85,-0.2494,0.0776,401.4888,0.113237,-232.33341,21.17,-1179.440188531
N=C1CCO1,12.18399,5.1384,3.78868,2.5732,40.19,-0.263,0.0277,352.0378,0.080558,-247.201165,15.51,-948.193709396
C1CC(=O)C1,10.79571,4.78732,3.54292,2.7119,42.77,-0.2415,-0.0194,379.6371,0.090544,-231.15578,17.076,-1068.318384775
C1CNC1=O,12.23436,4.97895,3.70561,3.6671,39.73,-0.25,0.038,355.0934,0.080442,-247.225618,16.1,-963.538186973
C1COC1=O,12.44643,5.23328,3.86599,3.9339,35.4,-0.2788,0.0089,336.0792,0.068574,-267.106213,14.483,-900.881413323
C1C(=O)CN1,11.54185,4.90368,3.63309,2.5257,39.34,-0.2437,-0.0258,359.152,0.07965,-247.190194,16.083,-941.309308157
C1C(=O)CO1,12.18264,4.94228,3.68162,0.8477,35.94,-0.2647,-0.0352,344.5473,0.066989,-267.068488,15.115,-877.208636298
CC1CCC1,9.63416,4.10254,3.28665,0.095,52.94,-0.2896,0.0927,455.0215,0.138424,-196.407957,20.299,-1362.552334803
CC1CCO1,9.93129,4.56362,3.63704,1.6826,45.72,-0.241,0.0915,407.6909,0.11459,-232.33123,18.582,-1178.072218911
CC1COC1,10.13697,4.32512,3.50912,1.8995,45.45,-0.2419,0.0814,414.1575,0.114694,-232.325947,18.443,-1174.757088864
C1CC(C1)O,10.09703,4.26865,3.40487,1.4604,45.55,-0.256,0.0801,413.9118,0.115063,-232.333258,19.023,-1179.344807163
C1C(CO1)O,10.85394,4.52867,3.62328,2.4158,38.58,-0.2465,0.0604,374.4087,0.091005,-268.248371,17.344,-989.744217831
CC1CC1C,7.14221,4.37083,3.30265,0.1023,52.92,-0.2632,0.094,465.3301,0.137341,-196.406419,22.005,-1361.587225961
CC1CC1O,7.36997,4.78662,3.53123,1.3092,45.84,-0.2518,0.0822,418.298,0.113827,-232.32907,20.702,-1176.716799471
CC1CN1C,7.53724,4.74514,3.54049,1.2483,49.79,-0.2199,0.0931,432.5081,0.125556,-212.438188,20.993,-1232.918388038
CC1OC1C,8.15202,4.38313,3.43318,1.8159,46.02,-0.2573,0.0984,432.2224,0.113178,-232.334436,20.451,-1180.084012765
OC1CC1O,7.51163,5.3853,3.80314,2.4925,38.43,-0.2369,0.0642,370.2795,0.090396,-268.251114,19.173,-991.465475018
C1C2CC1C2,7.20812,7.20681,6.22176,0.0002,49.82,-0.2974,0.1082,328.2069,0.116844,-195.158734,15.584,-1206.50527921
C1C2CC1O2,7.76429,7.54763,6.46247,1.8725,42.39,-0.2352,0.0994,298.4772,0.092109,-231.069318,14.648,-1014.062701617
C#CCC#C,19.32586,2.84998,2.52198,0.4777,45.22,-0.2633,0.0345,470.3666,0.065276,-192.736096,19.399,-941.981370296
C#CCC#N,20.01906,2.89728,2.57099,3.5925,40.56,-0.2911,0.0111,448.7393,0.05503,-208.842347,17.258,-860.050657711
C(C#N)C#N,21.0592,2.92609,2.61064,3.6958,36.12,-0.3494,-0.0151,429.0927,0.044642,-224.94466,15.259,-775.648814684
C#CCC=O,24.42532,2.5579,2.40769,2.0711,41.41,-0.2583,-0.0337,483.1343,0.065029,-229.918003,18.303,-919.453797196
C(C=O)C#N,26.22693,2.56863,2.42417,2.172,36.79,-0.2868,-0.0568,464.3999,0.054694,-246.023231,16.279,-836.881142904
C(=N)NC=O,11.16406,4.28269,3.09529,5.0884,38.8,-0.2491,-0.0216,391.0845,0.068192,-263.280728,16.694,-849.516036619
N=COC=O,46.2984,2.58674,2.44986,4.2338,35.69,-0.2934,-0.0298,460.7073,0.055229,-283.156647,15.704,-783.925030885
C(=O)NC=O,11.40917,4.38216,3.16609,5.2904,34.31,-0.2608,-0.0416,372.7845,0.055704,-283.179781,15.692,-798.441824091
CC#CC#C,160.02654,2.04896,2.04896,1.1881,54.54,-0.242,-0.0085,576.5936,0.065688,-192.762455,19.382,-958.521880027
CC#CC#N,159.56146,2.07623,2.07623,5.1545,47.82,-0.2871,-0.0377,553.2094,0.055566,-208.863267,17.054,-873.178145991
CC#CC=O,43.05987,2.11932,2.04564,3.783,45.67,-0.2642,-0.0592,568.7849,0.065532,-229.928448,18.156,-926.008128701
CC#CCO,25.23558,2.07322,1.96278,1.2486,46.92,-0.2421,0.0368,613.8892,0.089036,-231.111403,20.884,-1040.471417882
CCC#CC,20.50649,2.07478,1.95249,0.078,53.93,-0.2401,0.0631,652.4812,0.112761,-195.196751,22.115,-1230.361288863
CN=COC,27.37372,2.3551,2.22921,2.9091,46.78,-0.2481,0.0251,567.546,0.10111,-248.395289,20.343,-1069.665646598
CCCC#C,23.52902,2.22059,2.10822,0.7752,51.47,-0.2586,0.0583,593.0141,0.112736,-195.186228,22.023,-1223.758011656
CCCC#N,23.89209,2.25168,2.1394,4.0641,46.62,-0.3185,0.0365,569.5065,0.102603,-211.295163,19.863,-1143.511533227
CNCC#N,27.0505,2.37302,2.25333,4.1469,43.52,-0.249,0.0208,535.2152,0.091346,-227.324775,19.026,-1013.489158391
COCC#C,29.26507,2.42505,2.30445,1.3623,45.04,-0.2565,0.0324,532.4302,0.088734,-231.092208,20.194,-1028.426382627
COCC#N,29.69812,2.46416,2.34273,4.5445,40.22,-0.2859,0.008,509.5881,0.078474,-247.198,18.14,-946.207643411
C#CCCO,26.63096,2.28907,2.16465,1.3892,44.05,-0.2624,0.0549,542.7424,0.089329,-231.10631,20.716,-1037.275514545
C(CO)C#N,27.12022,2.32375,2.19911,3.7158,39.41,-0.2914,0.0323,519.4529,0.079045,-247.21445,18.636,-956.530166461
CCCC=O,20.60318,2.12564,2.08237,2.7552,47.03,-0.2487,-0.0195,599.5103,0.112697,-232.36363,20.766,-1198.403510511
CCNC=O,12.29542,2.95298,2.69965,3.694,43.88,-0.2499,0.0335,490.704,0.102695,-248.436061,19.864,-1095.250443546
CCOC=O,18.87188,2.54729,2.47133,4.0425,40.48,-0.2778,0.0091,510.9124,0.089832,-268.307873,18.727,-1027.082258349
COCC=O,29.05433,2.28555,2.17705,2.7959,40.04,-0.2577,-0.0282,546.3932,0.088447,-268.27324,19.186,-1005.349739152
C(CO)C=O,22.23659,2.16652,2.13287,1.4229,39.92,-0.2536,-0.0285,550.4469,0.089449,-268.282665,19.422,-1011.264011477
CCCCC,17.04187,1.92713,1.82903,0.0603,56.8,-0.3105,0.0925,721.0614,0.160138,-197.629416,24.552,-1501.17723052
CCCCO,18.74523,1.96959,1.86471,1.3815,49.63,-0.2615,0.0813,669.0122,0.136722,-233.549368,23.274,-1314.613157239
CCCOC,20.12848,2.11047,2.00594,0.9755,50.27,-0.25,0.0926,647.6919,0.136321,-233.542445,22.785,-1310.268912432
CCOCC,17.9608,2.23958,2.09578,0.9301,50.62,-0.2483,0.0931,631.0818,0.136152,-233.547877,22.881,-1313.67754132
COCCO,12.80895,2.7832,2.48922,2.2019,42.99,-0.261,0.0821,522.4181,0.113563,-269.465281,21.001,-1125.514575107
C(CO)CO,20.79686,2.01268,1.9004,2.7191,42.52,-0.2607,0.0779,618.0376,0.113242,-269.468415,22.005,-1127.481188313
C#CC1CC1,15.9285,3.34091,3.17008,0.8635,48.65,-0.2425,0.0503,429.6736,0.090505,-193.963318,18.785,-1084.22260038
C#CC1CN1,17.05252,3.4088,3.26202,1.2763,45.22,-0.2422,0.0322,408.3613,0.079399,-210.001565,17.704,-959.618765759
C#CC1CO1,18.6968,3.40509,3.26056,1.7013,41.39,-0.265,0.0189,397.8388,0.066467,-229.879598,16.924,-895.354314051
C1CC1C#N,15.97776,3.43771,3.25625,4.1966,43.5,-0.2931,0.0289,407.3682,0.080403,-210.071468,16.544,-1003.483527386
N#CC1CN1,17.10357,3.50921,3.35299,2.8377,40.21,-0.2775,0.0076,386.5557,0.069125,-226.107205,15.572,-877.304645175
N#CC1CO1,18.70863,3.50788,3.35304,3.6533,36.45,-0.3077,-0.0072,376.0875,0.056139,-245.983375,14.866,-811.8711442
C1CC1C=O,16.01056,3.17029,3.01951,3.147,44.1,-0.2486,-0.0157,436.2586,0.090683,-231.145151,17.457,-1061.648591614
O=CC1CN1,12.11336,4.15999,3.92501,2.03,40.19,-0.2639,-0.0381,363.3567,0.079887,-247.184334,16.144,-937.632105417
O=CC1CO1,18.45912,3.25271,3.1231,2.3951,36.8,-0.2636,-0.0418,402.0419,0.066465,-267.060326,15.818,-872.08690784
C1CN1C=O,14.7497,3.94953,3.42803,3.2517,40.77,-0.2555,-0.0013,383.6013,0.079595,-247.192524,16.197,-942.771404127
CCC1CC1,11.92252,3.07744,2.77702,0.095,52.9,-0.2723,0.0986,514.3053,0.137725,-196.40532,21.364,-1360.89759357
CCC1CO1,13.16352,3.25269,2.93666,1.7468,45.95,-0.2623,0.0976,471.3094,0.113861,-232.328175,19.579,-1176.155178916
CCN1CC1,12.65097,3.37781,3.01126,1.0617,50.07,-0.2299,0.095,474.34,0.126034,-212.439286,20.247,-1233.60739292
COC1CC1,13.06284,3.49477,3.12333,1.0906,46.29,-0.244,0.0955,452.0432,0.113725,-232.3174,19.738,-1169.393769441
C1CC1CO,12.75002,3.20516,2.88061,1.3201,46.01,-0.2601,0.079,468.6229,0.1143,-232.324966,20.059,-1174.141502535
OCC1CN1,13.52261,3.29848,2.97514,2.9395,42.64,-0.2436,0.0677,445.0397,0.103108,-248.364357,19.038,-1050.25553821
OCC1CO1,13.91383,3.41925,3.06432,1.7822,38.7,-0.2641,0.0777,424.287,0.090736,-268.248806,18.033,-990.017184246
C1CC=CC1,7.29736,7.21425,3.92627,0.1413,50.34,-0.2335,0.0325,375.5096,0.116471,-195.226072,17.052,-1248.760480252
C1COC=N1,8.50694,8.12007,4.38248,1.6299,38.7,-0.2479,0.0241,315.6279,0.081779,-247.215049,14.168,-956.906044352
C1C=CCO1,8.03792,7.90647,4.19499,1.5715,43.73,-0.2303,0.0188,336.0014,0.092218,-231.142581,15.461,-1060.035893484
C1CCCC1,6.46711,6.46539,3.72933,0.001,52.0,-0.3078,0.0844,414.0869,0.140316,-196.432825,18.624,-1378.157228615
C1CCOC1,7.13328,6.90764,3.97481,1.465,45.06,-0.2479,0.0825,374.1439,0.116649,-232.351764,16.873,-1190.957488717
C1COCO1,7.8609,7.51415,4.27374,1.3482,38.2,-0.2572,0.0865,333.797,0.092697,-268.273739,15.172,-1005.662866143
C1C2CCC12,9.13872,6.09542,4.76786,0.2527,48.92,-0.2519,0.0987,350.7167,0.116089,-195.179738,16.868,-1219.685478246
C1C2COC12,10.16649,6.4527,5.07931,1.7167,41.77,-0.2337,0.0853,315.0958,0.091972,-231.093096,15.312,-1028.983610619
C1CC2OC12,9.60877,6.57366,5.00982,1.8518,41.8,-0.2517,0.0951,317.7261,0.091787,-231.102112,15.427,-1034.641231763
c1c[nH]nc1,9.66859,9.44683,4.77821,2.2277,39.17,-0.2438,0.0239,284.6224,0.071284,-226.144377,13.255,-900.630409723
c1cnn[nH]1,10.07849,9.91557,4.99818,4.2954,35.66,-0.2641,-0.0023,266.8979,0.059084,-242.180146,12.248,-774.4716078
c1[nH]ncn1,10.29348,9.86616,5.03764,2.79,35.01,-0.2705,0.0059,264.8693,0.059902,-242.205627,11.923,-790.461164629
c1[nH]cnn1,10.04746,9.93509,4.99548,5.498,35.27,-0.2551,0.0164,266.6747,0.059116,-242.196351,12.36,-784.640391145
c1cn[nH]n1,10.3093,9.81117,5.02703,0.0597,35.3,-0.2742,-0.0055,265.6333,0.059852,-242.18601,11.936,-778.151320576
c1cnoc1,9.8405,9.63861,4.86926,2.8629,35.74,-0.2677,-0.0138,272.9362,0.058014,-245.994065,12.232,-818.57921541
c1conn1,10.42602,9.84405,5.06334,3.4411,32.49,-0.2862,-0.044,256.5774,0.045382,-262.035127,11.821,-695.741818624
c1ncon1,10.39572,10.14933,5.13552,1.126,31.56,-0.3054,-0.0335,253.56,0.046608,-262.056533,11.003,-709.174276278
c1nnco1,10.38235,10.24473,5.15654,3.1035,31.41,-0.2889,-0.0178,252.7276,0.046502,-262.065493,11.122,-714.796756918
c1nnno1,10.78306,10.41182,5.2971,2.8915,28.58,-0.331,-0.0643,239.8863,0.033398,-278.075775,10.82,-572.644633112
c1cnon1,10.52537,9.76061,5.06429,3.2148,32.29,-0.3213,-0.0515,256.8034,0.045873,-262.017735,11.319,-684.828182096
c1nnon1,10.97997,10.24035,5.29863,1.9641,28.86,-0.3379,-0.0815,240.038,0.033459,-278.059333,10.694,-562.327130134
n1nnon1,11.4029,10.6093,5.4959,0.6581,25.66,-0.3671,-0.1073,226.0123,0.020349,-294.081616,10.401,-427.705741837
CC(=NO)C#C,8.35402,2.38993,1.87981,0.6411,54.16,-0.2383,-0.0315,618.9851,0.081951,-285.217962,23.675,-1054.885927121
CC(=NO)CO,5.71908,2.66918,1.86162,1.9975,49.13,-0.2502,0.0066,639.6693,0.105605,-323.58568,25.106,-1148.6138089061
CCC(=NO)C,6.7828,2.18539,1.85356,0.6759,56.46,-0.239,0.0173,699.8479,0.129195,-287.662612,26.442,-1333.2225641431
C1CC(=NO)C1,9.1832,2.53155,2.06117,0.8763,53.48,-0.2405,0.0074,599.0421,0.107557,-286.438084,21.872,-1192.671843305
C1C(=NO)CN1,9.72664,2.54748,2.08411,1.2383,49.95,-0.23,0.0026,576.9778,0.096619,-302.472397,20.934,-1065.599388278
C1C(=NO)CO1,10.19354,2.53906,2.08688,1.1556,46.34,-0.2498,-0.0046,562.026,0.084017,-322.351046,19.932,-1001.721482114
C(F)(F)(F)F,5.71326,5.71279,5.71267,0.0003,15.93,-0.4286,0.1935,279.3208,0.017147,-437.484875,12.639,-478.904201147
N=C1NC=CO1,9.03286,3.98056,2.76298,3.2823,44.74,-0.1947,0.0288,443.1895,0.074595,-301.367422,18.338,-1000.069250917
N=C1OC=CO1,9.19863,4.12641,2.84857,3.6351,40.77,-0.2262,0.0118,424.2581,0.062567,-321.236907,16.38,-930.440852277
c1c[nH]c(=O)[nH]1,9.01341,3.89637,2.72039,3.6997,43.39,-0.1951,0.0406,444.2644,0.075511,-301.405558,18.314,-1023.999934141
c1coc(=O)[nH]1,9.20111,4.03528,2.80507,4.6537,39.72,-0.2215,0.0207,425.4583,0.063077,-321.276274,16.761,-955.14399908
c1coc(=O)o1,9.39188,4.18355,2.8943,4.4195,36.02,-0.253,0.0027,406.9334,0.050756,-341.145624,15.099,-885.430886725
Cc1ccc[nH]1,8.61149,3.43237,2.49228,1.9162,55.77,-0.1934,0.0496,523.1127,0.109918,-249.397368,20.832,-1303.798039624
Cc1ccco1,8.84271,3.54533,2.57115,0.5222,51.86,-0.2124,0.0239,501.9826,0.097415,-269.267574,19.38,-1234.6220749731
Cc1cnco1,9.35773,3.58145,2.6326,2.0636,47.63,-0.2364,0.0066,481.0455,0.086244,-285.328258,18.024,-1124.097659785
Cc1ncco1,9.16324,3.7188,2.68951,1.3368,47.52,-0.2371,0.0082,474.9666,0.086046,-285.330157,18.156,-1125.289299376
c1cc([nH]c1)N,8.80085,3.53327,2.54719,1.5102,51.62,-0.185,0.0556,495.5949,0.099063,-265.441614,20.507,-1182.958631494
c1cc(oc1)N,9.03471,3.7,2.63327,1.5774,48.3,-0.1844,0.0397,472.7151,0.086472,-285.313612,19.374,-1114.907162971
c1c(ocn1)N,9.58198,3.73874,2.69846,2.9659,44.3,-0.2049,0.0202,451.8468,0.075243,-301.373496,18.0,-1003.880740583
c1coc(n1)N,9.35884,3.9125,2.76625,1.8589,43.86,-0.2088,0.0284,444.8744,0.075481,-301.381127,17.958,-1008.669261762
